feature,mean_abs_shap,mean_abs_shap_Dropout,mean_abs_shap_Enrolled,mean_abs_shap_Graduate
Curricular units 2nd sem (approved),0.10310104976342416,0.12320829753340433,0.05573223148809129,0.13036262026877687
Curricular units 2nd sem (grade),0.04861295549652312,0.06246925260617453,0.03920314025487286,0.04416647362852196
Curricular units 1st sem (approved),0.046193448906204915,0.049869254505103176,0.02605440773848262,0.06265668447502894
Curricular units 1st sem (evaluations),0.024537323290780483,0.007734885953629186,0.030885786976382147,0.03499129694233012
Age at enrollment,0.022704849271940383,0.03172877630411847,0.01770600852718958,0.018679762984513102
Curricular units 2nd sem (evaluations),0.020574046349047168,0.012520346496382395,0.024312251516986797,0.024889541033772323
Curricular units 1st sem (grade),0.01908648425170434,0.014091239448232809,0.01586403593825067,0.027304177368629536
Scholarship holder,0.017329971396790246,0.011318104744640758,0.01469505320058313,0.02597675624514685
Course,0.012204459233513808,0.01460194344186342,0.010154795291241456,0.01185663896743655
Curricular units 2nd sem (enrolled),0.011119829611844365,0.012332535979074948,0.011580535704225254,0.009446417152232895
Application mode,0.010200359351123374,0.01208524637110201,0.007439787788907973,0.01107604389336014
Curricular units 1st sem (enrolled),0.009040764488117142,0.009064639202474677,0.009775789530834257,0.008281864731042492
Gender,0.007176487645108906,0.0069540901990217865,0.004441350699654488,0.01013402203665044
Admission grade,0.006461121466429156,0.006057410088856153,0.007215335197232011,0.006110619113199303
Previous qualification (grade),0.0061522457648600535,0.0045472139940430705,0.007084218363334559,0.006825304937202531
Mother's occupation,0.004921145501076134,0.005180209883388837,0.0052546120543950255,0.00432861456544454
Father's occupation,0.0039674311185406135,0.003623778369549619,0.005165023716628033,0.0031134912694441887
Mother's qualification,0.003904786638854,0.0037696552305190975,0.004939135411961697,0.003005569274081206
Father's qualification,0.0037293741022415053,0.0031369021049879177,0.004643289085744038,0.0034079311159925614
Application order,0.002354397636844433,0.0020366354347906277,0.0025027831643070634,0.0025237743114356077
Previous qualification,0.0022524719813272888,0.003031462917793974,0.002592202897248443,0.0011337501289394492
Marital status,0.0011699483878641077,0.001062723217417053,0.0015571438785869133,0.0008899780675883568
