feature,mean_abs_shap,mean_abs_shap_Withdrawn,mean_abs_shap_Fail,mean_abs_shap_Pass
score_per_assessment,0.5782513,0.19315054,0.24237657,1.2992269
num_TMA,0.5074967,0.5150676,0.06495494,0.94246763
avg_score_Exam,0.32796946,0.14353235,0.3138133,0.52656275
num_assessments,0.281306,0.6064972,0.012682941,0.22473787
num_Exam,0.13901363,0.36215165,0.048636373,0.006252846
clicks_oucontent,0.12026777,0.06808108,0.05804375,0.23467846
clicks_quiz,0.11812222,0.08591678,0.050816797,0.21763307
total_vle_days,0.09431707,0.039248,0.12408353,0.11961969
early_submissions,0.09255544,0.120112844,0.03638834,0.12116515
avg_score,0.0874444,0.018315662,0.07398054,0.17003703
num_CMA,0.08393168,0.14041588,0.003136903,0.108242236
tma_cma_score_diff,0.08383876,0.08567474,0.022844646,0.14299689
clicks_subpage,0.07822848,0.058059428,0.03601185,0.14061417
studied_credits,0.07509402,0.13572365,0.059471536,0.03008689
avg_score_TMA,0.06697741,0.035418563,0.04151388,0.12399978
clicks_page,0.058550194,0.012612575,0.08598772,0.07705029
date_registration,0.052506205,0.08127039,0.041582886,0.034665328
total_clicks,0.043709356,0.049142435,0.06655757,0.015428068
max_score,0.04256517,0.0849356,0.024849512,0.017910404
clicks_url,0.039823595,0.048762683,0.012861998,0.05784611
avg_submit_delay,0.03907132,0.043736417,0.027049292,0.046428256
num_distinct_activities,0.037471827,0.049363166,0.026849171,0.036203142
min_score,0.03607092,0.02005221,0.021649046,0.066511504
early_late_ratio,0.03580754,0.043705057,0.029843148,0.033874407
resource_ratio,0.032340825,0.021177813,0.02148384,0.054360826
quiz_ratio,0.031458322,0.03902143,0.013747788,0.041605756
num_of_prev_attempts,0.029181795,0.043722507,0.042773183,0.0010496982
avg_daily_clicks,0.028990513,0.03364715,0.037225958,0.016098427
std_score,0.028757622,0.016296823,0.02760436,0.04237168
clicks_homepage,0.02863607,0.03980111,0.029448362,0.016658738
forum_ratio,0.027793726,0.025320474,0.010164277,0.047896422
clicks_resource,0.026869765,0.039013326,0.027808433,0.013787527
clicks_forumng,0.022672357,0.046441548,0.011577296,0.0099982275
click_per_day,0.022270279,0.019109594,0.01718536,0.030515887
score_consistency,0.021677526,0.01088432,0.010429189,0.043719072
engagement_score,0.020578476,0.017859727,0.019307664,0.024568032
avg_score_CMA,0.018370636,0.021076897,0.009135078,0.024899933
clicks_questionnaire,0.015822738,0.016809292,0.0077406666,0.022918254
late_submissions,0.01045012,0.0041796044,0.015306217,0.011864541
assessment_completion_rate,0.0,0.0,0.0,0.0
